City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
36,Clyde River,75,CA,-18000,92,70.4692,-68.5914,7.03,4.61
37,San Matías,100,BO,-14400,73,-16.3667,-58.4,75.96,3.96
38,Ternate,90,ID,32400,80,0.8,127.4,81,5.28
39,Chokurdakh,94,RU,39600,100,70.6333,147.9167,-21.41,2.39
40,Santa Rosa de Osos,99,CO,-18000,51,6.6474,-75.4603,64.53,2.42
41,Pacific Grove,1,US,-28800,91,36.6177,-121.9166,57.09,3.44
42,Namtsy,100,RU,32400,98,62.7161,129.6658,-27.29,1.14
43,São João da Barra,100,BR,-10800,94,-21.6403,-41.0511,82.49,9.37
44,Asău,100,RO,7200,64,46.4333,26.4,45.52,7
45,Lebu,9,CL,-10800,73,-37.6167,-73.65,60.22,15.9
46,Severo-Kuril'sk,70,RU,39600,87,50.6789,156.125,35.89,3.67
47,Yangi Marg`ilon,0,UZ,18000,69,40.4272,71.7189,33.22,6.91
48,Hithadhoo,93,MV,18000,77,-0.6,73.0833,82.78,16.37
49,Pimentel,0,PE,-18000,60,-6.8367,-79.9342,73.69,13.8
50,Gitega Province,96,BI,7200,71,-3.5,29.95,67.75,4.03
51,West Bend,1,US,-21600,62,43.4253,-88.1834,35.2,5.01
52,Ushuaia,40,AR,-10800,58,-54.8,-68.3,51.46,31.07
53,Hirara,61,JP,32400,76,24.8,125.2833,75.7,22.32
54,Guerrero Negro,55,MX,-25200,77,27.9769,-114.0611,66.18,6.49
55,Port Alfred,34,ZA,7200,67,-33.5906,26.891,66.02,13.67
56,Hilo,20,US,-36000,87,19.7297,-155.09,76.28,6.91
57,Barrow,90,US,-32400,79,71.2906,-156.7887,12.22,13.8
58,Castro,94,BR,-10800,76,-24.7911,-50.0119,71.53,2.51
59,Barcelos,0,PT,0,51,41.5388,-8.6151,66.34,7.11
60,Piaçabuçu,69,BR,-10800,57,-10.4056,-36.4344,84.96,12.41
61,Qaqortoq,100,GL,-10800,78,60.7167,-46.0333,19.9,2.84
62,Praia da Vitória,40,PT,-3600,78,38.7333,-27.0667,70.05,13.15
